cmbsf,field,x,y,z
151,0,-0.00012725,-9.0454E-05,3.32634E-05
151,5,-4.10777E-05,-1.8282E-05,9.73038E-06
151,10,-2.48188E-05,-9.26422E-06,-9.66736E-06
151,15,-1.9825E-05,-6.75822E-06,-1.97067E-05
151,20,-1.59271E-05,-5.47729E-06,-2.31101E-05
151,25,-1.22464E-05,-4.19876E-06,-2.25384E-05
151,30,-9.49208E-06,-3.51533E-06,-2.0423E-05
151,35,-7.89589E-06,-2.80387E-06,-1.75858E-05
151,40,-6.37126E-06,-2.49897E-06,-1.56611E-05
151,45,-5.00553E-06,-2.02951E-06,-1.33145E-05
151,50,-3.75419E-06,-2.08059E-06,-1.18597E-05
151,60,-2.44173E-06,-9.39881E-07,-9.17664E-06
151,70,-1.23608E-06,-4.45245E-07,-7.13807E-06
151,80,-5.81941E-08,-6.3224E-07,-6.00408E-06
151,90,-7.66159E-07,-1.23034E-06,-5.14434E-06
151,100,-6.35341E-08,-1.04072E-06,-3.89546E-06
