Depth (m),AF (mT),x (emu),y (emu),z (emu)
0.6671,40,-7.22E-07,-9.37E-07,3.25E-06
0.6671,45,-7.19E-07,-9.83E-07,2.77E-06
0.6671,50,-7.16E-07,-7.92E-07,2.29E-06
0.6671,60,-7.12E-07,-6.00E-07,1.86E-06
0.6671,70,-5.80E-07,-4.08E-07,1.43E-06
0.6671,80,-4.48E-07,-3.49E-07,1.01E-06
0.6671,90,-3.15E-07,-2.90E-07,1.04E-06
0.6671,100,-2.86E-07,-2.31E-07,1.07E-06
0.6941,0,-7.69E-07,2.12E-07,1.61E-05
0.6941,2.5,-8.80E-07,3.17E-07,1.31E-05
0.6941,5,-8.57E-07,1.81E-07,1.09E-05
0.6941,7.5,-5.56E-07,2.98E-07,8.96E-06
0.6941,10,-8.27E-07,1.42E-07,7.17E-06
0.6941,12.5,-9.36E-07,3.87E-07,6.18E-06
0.6941,15,-1.04E-06,4.32E-07,5.03E-06
0.6941,17.5,-1.20E-06,-3.01E-08,4.32E-06
0.6941,20,-1.07E-06,-2.86E-07,3.84E-06
0.6941,25,-7.72E-07,-5.34E-09,3.14E-06
0.6941,30,-9.52E-07,2.75E-07,2.44E-06
0.6941,35,-1.13E-06,1.20E-07,1.74E-06
0.6941,40,-1.31E-06,-3.45E-08,1.62E-06
0.6941,45,-1.22E-06,-1.89E-07,1.50E-06
0.6941,50,-1.13E-06,1.91E-07,1.38E-06
0.6941,60,-1.03E-06,5.72E-07,1.19E-06
0.6941,70,-1.26E-06,9.52E-07,1.00E-06
0.6941,80,-1.49E-06,4.55E-07,8.13E-07
0.6941,90,-1.72E-06,-4.22E-08,6.06E-07
0.6941,100,-1.24E-06,-5.39E-07,3.99E-07
0.7461,0,-1.19E-06,1.12E-06,1.98E-05
0.7461,2.5,-1.18E-06,8.40E-07,1.74E-05
0.7461,5,-1.25E-06,1.36E-06,1.49E-05
0.7461,7.5,-1.26E-06,9.46E-07,1.28E-05
0.7461,10,-1.67E-06,5.09E-07,1.10E-05
0.7461,12.5,-1.25E-06,8.32E-07,9.88E-06
0.7461,15,-1.10E-06,2.81E-07,8.58E-06
0.7461,17.5,-9.21E-07,5.56E-07,7.45E-06
0.7461,20,-4.68E-07,4.77E-07,6.71E-06
0.7461,25,-5.94E-07,3.59E-07,5.58E-06
0.7461,30,-2.97E-07,2.42E-07,4.45E-06
0.7461,35,-9.01E-10,2.82E-07,3.32E-06
0.7461,40,2.96E-07,3.22E-07,2.90E-06
0.7461,45,-1.67E-07,4.03E-07,2.06E-06
0.7461,50,-3.98E-07,5.56E-07,1.65E-06
0.7461,60,-6.29E-07,7.09E-07,1.50E-06
0.7461,70,-8.20E-07,8.62E-07,1.35E-06
0.7461,80,-1.01E-06,9.20E-07,1.21E-06
0.7461,90,-1.20E-06,9.79E-07,6.70E-07
0.7461,100,5.53E-08,1.04E-06,1.35E-07
0.8251,0,2.99E-06,3.78E-07,4.84E-05
0.8251,2.5,2.91E-06,-2.32E-07,4.39E-05
0.8251,5,2.83E-06,7.51E-07,3.82E-05
0.8251,7.5,2.95E-06,-6.21E-07,3.37E-05
0.8251,10,2.66E-06,-6.36E-07,2.87E-05
0.8251,12.5,2.32E-06,-1.36E-06,2.62E-05
0.8251,15,2.14E-06,-1.14E-08,2.29E-05
0.8251,17.5,1.67E-06,-9.82E-07,2.10E-05
0.8251,20,2.24E-06,-9.87E-07,1.90E-05
0.8251,25,2.18E-06,-6.80E-07,1.66E-05
0.8251,30,2.05E-06,-3.72E-07,1.42E-05
0.8251,35,1.91E-06,-1.23E-07,1.17E-05
0.8251,40,1.78E-06,1.25E-07,1.06E-05
0.8251,45,1.39E-06,3.74E-07,9.52E-06
0.8251,50,9.96E-07,4.20E-07,8.41E-06
0.8251,60,6.05E-07,4.66E-07,7.49E-06
0.8251,70,1.56E-07,5.12E-07,6.57E-06
0.8251,80,-2.94E-07,3.34E-07,5.65E-06
0.8251,90,-7.43E-07,1.57E-07,4.05E-06
0.8251,100,4.80E-07,-2.11E-08,2.45E-06
0.8531,0,1.25E-07,2.29E-06,3.52E-05
0.8531,2.5,-7.24E-09,1.73E-06,3.15E-05
0.8531,5,-1.12E-07,2.89E-06,2.70E-05
0.8531,7.5,-2.57E-07,1.31E-06,2.35E-05
0.8531,10,-4.28E-07,1.13E-06,1.98E-05
0.8531,12.5,-4.72E-07,9.85E-07,1.76E-05
0.8531,15,-1.35E-06,6.27E-07,1.59E-05
0.8531,17.5,-2.13E-06,1.10E-06,1.42E-05
