Depth (m),AF (mT),x (emu),y (emu),z (emu)
1.4441,25,2.76E-06,-1.77E-06,1.75E-05
1.4441,30,2.30E-06,-1.49E-06,1.48E-05
1.4441,35,1.84E-06,-1.38E-06,1.21E-05
1.4441,40,1.37E-06,-1.26E-06,1.04E-05
1.4441,45,7.28E-07,-1.14E-06,8.65E-06
1.4441,50,8.09E-08,-6.86E-07,6.90E-06
1.4441,60,-5.66E-07,-2.30E-07,5.94E-06
1.4441,70,-7.23E-07,2.27E-07,4.97E-06
1.4441,80,-8.80E-07,7.27E-08,4.00E-06
1.4441,90,-1.04E-06,-8.13E-08,2.64E-06
1.4441,100,1.87E-06,-2.35E-07,1.28E-06
1.4701,0,2.76E-07,-3.41E-06,6.64E-05
1.4701,2.5,7.88E-07,1.05E-07,5.37E-05
1.4701,5,1.55E-06,-1.51E-06,4.09E-05
1.4701,7.5,1.81E-06,-1.41E-06,3.39E-05
1.4701,10,1.49E-06,-1.67E-07,2.83E-05
1.4701,12.5,1.72E-06,-1.30E-06,2.53E-05
1.4701,15,1.65E-06,-6.04E-07,2.23E-05
1.4701,17.5,5.06E-07,-1.24E-06,2.04E-05
1.4701,20,1.10E-06,3.64E-07,1.83E-05
1.4701,25,-8.32E-09,1.05E-07,1.60E-05
1.4701,30,-4.92E-07,-1.55E-07,1.37E-05
1.4701,35,-9.76E-07,1.67E-07,1.14E-05
1.4701,40,-1.46E-06,4.89E-07,1.03E-05
1.4701,45,-1.53E-06,8.10E-07,9.23E-06
1.4701,50,-1.60E-06,4.27E-07,8.16E-06
1.4701,60,-1.67E-06,4.45E-08,7.17E-06
1.4701,70,-1.89E-06,-3.39E-07,6.17E-06
1.4701,80,-2.11E-06,-3.48E-07,5.18E-06
1.4701,90,-2.33E-06,-3.57E-07,4.15E-06
1.4701,100,2.43E-06,-3.66E-07,3.12E-06
1.5211,0,-1.77E-06,4.15E-06,3.51E-05
1.5211,2.5,-1.46E-06,4.80E-06,3.03E-05
1.5211,5,-1.03E-06,3.39E-06,2.52E-05
1.5211,7.5,-4.74E-07,3.14E-06,2.09E-05
1.5211,10,-3.62E-07,2.73E-06,1.77E-05
1.5211,12.5,-4.68E-07,3.66E-06,1.54E-05
1.5211,15,-3.07E-07,2.14E-06,1.37E-05
1.5211,17.5,-9.56E-07,2.39E-06,1.21E-05
1.5211,20,-4.61E-07,3.10E-06,1.07E-05
1.5211,25,-1.22E-06,2.38E-06,9.18E-06
1.5211,30,-1.01E-06,1.65E-06,7.65E-06
1.5211,35,-7.98E-07,1.28E-06,6.12E-06
1.5211,40,-5.86E-07,9.06E-07,5.05E-06
1.5211,45,-9.84E-07,5.33E-07,3.97E-06
1.5211,50,-1.38E-06,4.15E-07,2.90E-06
1.5211,60,-1.78E-06,2.96E-07,2.41E-06
1.5211,70,-1.68E-06,1.77E-07,1.92E-06
1.5211,80,-1.57E-06,1.92E-10,1.43E-06
1.5211,90,-1.47E-06,-1.77E-07,3.86E-07
1.5211,100,1.36E-08,-3.54E-07,-6.57E-07
1.5411,0,1.21E-06,-2.90E-07,2.47E-05
1.5411,2.5,1.41E-06,-3.71E-07,2.06E-05
1.5411,5,1.48E-06,3.08E-07,1.70E-05
1.5411,7.5,1.72E-06,-6.31E-07,1.40E-05
1.5411,10,1.28E-06,-2.40E-07,1.16E-05
1.5411,12.5,1.43E-06,1.27E-07,9.98E-06
1.5411,15,1.31E-06,-4.68E-07,8.61E-06
1.5411,17.5,5.62E-07,-4.10E-07,7.37E-06
1.5411,20,5.22E-07,9.41E-08,7.03E-06
1.5411,25,7.09E-07,1.99E-07,5.89E-06
1.5411,30,6.05E-07,3.04E-07,4.74E-06
1.5411,35,5.01E-07,2.47E-07,3.59E-06
1.5411,40,3.96E-07,1.90E-07,3.40E-06
1.5411,45,6.60E-08,1.32E-07,3.20E-06
1.5411,50,-2.64E-07,2.65E-07,3.00E-06
1.5411,60,-5.95E-07,3.97E-07,2.78E-06
1.5411,70,-7.47E-07,5.29E-07,2.56E-06
1.5411,80,-9.00E-07,5.68E-07,2.34E-06
1.5411,90,-1.05E-06,6.08E-07,6.16E-07
1.5411,100,3.23E-07,6.47E-07,-1.11E-06
1.5991,0,2.96E-07,6.26E-07,2.76E-05
1.5991,2.5,3.73E-07,1.38E-06,2.39E-05
1.5991,5,8.85E-07,5.29E-07,1.98E-05
1.5991,7.5,7.35E-07,9.25E-07,1.64E-05
1.5991,10,2.41E-07,1.16E-06,1.34E-05
1.5991,12.5,1.72E-07,9.94E-07,1.16E-05
1.5991,15,2.04E-07,9.04E-07,9.81E-06
1.5991,17.5,4.11E-08,3.70E-07,9.03E-06
1.5991,20,1.98E-07,1.20E-06,7.81E-06
1.5991,25,4.61E-08,9.39E-07,6.40E-06
1.5991,30,-1.67E-07,6.76E-07,4.99E-06
1.5991,35,-3.79E-07,6.85E-07,3.58E-06
1.5991,40,-5.92E-07,6.95E-07,3.28E-06
1.5991,45,-3.84E-07,7.05E-07,2.98E-06
1.5991,50,-1.75E-07,8.37E-07,2.68E-06
1.5991,60,3.35E-08,9.69E-07,2.36E-06
1.5991,70,-4.10E-07,1.10E-06,2.04E-06
1.5991,80,-8.54E-07,1.07E-06,1.72E-06
1.5991,90,-1.30E-06,1.05E-06,1.38E-06
1.5991,100,-6.41E-08,1.02E-06,1.03E-06
1.6231,0,-1.23E-06,-8.05E-07,2.75E-05
1.6231,2.5,-1.03E-06,-6.10E-07,2.36E-05
1.6231,5,-6.90E-07,-6.36E-07,1.97E-05
1.6231,7.5,-5.07E-07,-6.24E-07,1.72E-05
1.6231,10,-4.78E-07,-6.13E-07,1.45E-05
1.6231,12.5,-5.62E-07,-1.42E-07,1.25E-05
1.6231,15,-9.34E-07,-1.04E-06,1.10E-05
1.6231,17.5,-1.32E-06,-4.48E-07,9.91E-06
1.6231,20,-1.29E-06,-7.89E-07,9.03E-06
1.6231,25,-1.31E-06,-8.15E-07,7.58E-06
1.6231,30,-1.37E-06,-8.41E-07,6.14E-06
1.6231,35,-1.43E-06,-7.97E-07,4.69E-06
1.6231,40,-1.49E-06,-7.53E-07,3.87E-06
1.6231,45,-1.50E-06,-7.09E-07,3.04E-06
1.6231,50,-1.52E-06,-8.04E-07,2.21E-06
1.6231,60,-1.53E-06,-8.99E-07,2.16E-06
1.6231,70,-1.39E-06,-9.93E-07,2.11E-06
1.6231,80,-1.25E-06,-5.48E-07,2.06E-06
1.6231,90,-1.10E-06,-1.04E-07,1.62E-06
1.6231,100,2.93E-07,3.41E-07,1.19E-06
1.6761,0,1.10E-06,8.41E-08,2.83E-05
1.6761,2.5,1.04E-06,5.03E-08,2.49E-05
1.6761,5,1.05E-06,1.53E-07,2.06E-05
1.6761,7.5,1.19E-06,1.32E-09,1.74E-05
1.6761,10,1.65E-06,4.03E-07,1.48E-05
1.6761,12.5,1.71E-06,9.95E-08,1.29E-05
1.6761,15,1.64E-06,3.91E-07,1.15E-05
1.6761,17.5,1.30E-06,5.77E-09,1.03E-05
1.6761,20,1.76E-06,-1.14E-07,9.44E-06
1.6761,25,1.58E-06,-1.33E-07,8.14E-06
1.6761,30,9.18E-07,-1.51E-07,6.85E-06
1.6761,35,2.58E-07,-8.84E-09,5.56E-06
1.6761,40,-4.03E-07,1.33E-07,4.86E-06
1.6761,45,-3.48E-07,2.75E-07,4.15E-06
1.6761,50,-2.94E-07,4.21E-07,3.45E-06
1.6761,60,-2.39E-07,5.67E-07,3.07E-06
1.6761,70,-8.84E-08,7.12E-07,2.68E-06
1.6761,80,6.24E-08,7.44E-07,2.30E-06
1.6761,90,2.13E-07,7.75E-07,1.88E-06
1.6761,100,1.28E-06,8.06E-07,1.47E-06
1.6991,0,-6.91E-06,5.14E-06,4.67E-05
1.6991,2.5,-9.06E-07,2.78E-07,3.98E-05
1.6991,5,1.84E-08,-2.70E-07,3.18E-05
1.6991,7.5,8.41E-07,1.19E-07,2.65E-05
1.6991,10,5.56E-07,-6.62E-07,2.17E-05
1.6991,12.5,1.37E-06,-1.50E-07,1.82E-05
1.6991,15,8.83E-07,5.03E-07,1.51E-05
1.6991,17.5,3.97E-07,1.47E-07,1.33E-05
1.6991,20,1.14E-06,7.89E-08,1.21E-05
1.6991,25,3.24E-07,1.12E-07,9.91E-06
1.6991,30,2.25E-08,1.45E-07,7.73E-06
1.6991,35,-2.79E-07,9.25E-08,5.55E-06
1.6991,40,-5.81E-07,3.99E-08,5.31E-06
1.6991,45,-4.51E-07,-1.26E-08,5.08E-06
1.6991,50,-3.22E-07,-3.62E-07,4.84E-06
1.6991,60,-1.92E-07,-7.11E-07,4.10E-06
1.6991,70,-1.16E-07,-1.06E-06,3.36E-06
1.6991,80,-4.06E-08,-6.98E-07,2.61E-06
1.6991,90,3.49E-08,-3.37E-07,1.92E-06
1.6991,100,-4.40E-07,2.50E-08,1.22E-06
1.7511,0,2.62E-06,1.45E-06,4.50E-05
1.7511,2.5,2.91E-06,9.34E-07,3.63E-05
1.7511,5,2.98E-06,9.65E-07,2.85E-05
1.7511,7.5,2.49E-06,-5.61E-07,2.28E-05
1.7511,10,1.76E-06,-4.20E-07,1.82E-05
1.7511,12.5,2.13E-06,-2.14E-07,1.48E-05
1.7511,15,1.26E-06,5.45E-08,1.26E-05
1.7511,17.5,7.64E-07,-1.02E-06,1.16E-05
1.7511,20,9.32E-07,-8.66E-07,9.52E-06
1.7511,25,6.34E-07,-5.26E-07,8.36E-06
1.7511,30,4.84E-07,-1.86E-07,7.19E-06
1.7511,35,3.35E-07,9.41E-08,6.03E-06
1.7511,40,1.86E-07,3.74E-07,5.04E-06
1.7511,45,2.72E-08,6.54E-07,4.05E-06
1.7511,50,-1.31E-07,5.70E-07,3.07E-06
1.7511,60,-2.90E-07,4.85E-07,3.40E-06
1.7511,70,-7.62E-07,4.00E-07,3.73E-06
1.7511,80,-1.24E-06,6.39E-07,4.06E-06
1.7511,90,-1.71E-06,8.78E-07,3.06E-06
1.7511,100,-1.44E-06,1.12E-06,2.06E-06
1.7771,0,-1.15E-05,-7.38E-07,5.91E-05
1.7771,2.5,-9.79E-06,9.71E-07,4.95E-05
1.7771,5,-7.62E-06,7.84E-07,4.04E-05
1.7771,7.5,-6.62E-06,2.29E-06,3.33E-05
1.7771,10,-5.65E-06,2.48E-07,2.66E-05
1.7771,12.5,-4.58E-06,1.00E-06,2.24E-05
1.7771,15,-3.64E-06,5.94E-08,1.95E-05
1.7771,17.5,-4.85E-06,-4.22E-07,1.70E-05
1.7771,20,-2.89E-06,6.06E-07,1.41E-05
1.7771,25,-2.71E-06,1.16E-06,1.12E-05
1.7771,30,-1.71E-06,1.71E-06,8.23E-06
1.7771,35,-7.04E-07,1.87E-06,5.31E-06
1.7771,40,3.00E-07,2.03E-06,4.20E-06
1.7771,45,-4.21E-07,2.19E-06,3.09E-06
1.7771,50,-1.14E-06,1.75E-06,1.98E-06
1.7771,60,-1.86E-06,1.31E-06,1.55E-06
1.7771,70,-2.05E-06,8.71E-07,1.13E-06
1.7771,80,-2.23E-06,1.06E-06,6.96E-07
1.7771,90,-2.42E-06,1.24E-06,1.42E-06
1.7771,100,-1.65E-06,1.42E-06,2.14E-06
1.8271,0,-4.63E-06,7.03E-07,4.63E-05
1.8271,2.5,-4.74E-06,-9.88E-07,4.04E-05
1.8271,5,-4.04E-06,-5.19E-07,3.32E-05
1.8271,7.5,-3.13E-06,3.33E-07,2.75E-05
1.8271,10,-3.02E-06,-4.77E-07,2.27E-05
1.8271,12.5,-2.74E-06,-4.71E-07,1.99E-05
1.8271,15,-1.88E-06,-3.35E-07,1.72E-05
1.8271,17.5,-1.99E-06,2.62E-07,1.53E-05
1.8271,20,-1.48E-06,4.52E-07,1.39E-05
1.8271,25,-6.34E-07,3.02E-07,1.13E-05
1.8271,30,-3.80E-07,1.53E-07,8.63E-06
1.8271,35,-1.26E-07,2.53E-07,6.01E-06
1.8271,40,1.27E-07,3.53E-07,5.24E-06
1.8271,45,1.97E-07,4.54E-07,4.47E-06
1.8271,50,2.67E-07,4.55E-07,3.71E-06
1.8271,60,3.38E-07,4.57E-07,3.42E-06
1.8271,70,2.38E-08,4.58E-07,3.13E-06
1.8271,80,-2.90E-07,3.34E-07,2.84E-06
1.8271,90,-6.04E-07,2.10E-07,2.06E-06
1.8271,100,6.12E-07,8.66E-08,1.27E-06
1.8541,0,-7.05E-06,3.03E-06,4.88E-05
1.8541,2.5,-6.86E-06,3.05E-06,4.14E-05
1.8541,5,-5.83E-06,2.52E-06,3.34E-05
1.8541,7.5,-4.78E-06,1.13E-06,2.72E-05
1.8541,10,-5.30E-06,1.42E-06,2.10E-05
1.8541,12.5,-4.83E-06,1.87E-07,1.85E-05
1.8541,15,-5.38E-06,6.16E-07,1.52E-05
1.8541,17.5,-4.72E-06,4.10E-07,1.28E-05
1.8541,20,-3.63E-06,7.00E-07,1.28E-05
1.8541,25,-4.66E-06,-3.20E-07,9.83E-06
1.8541,30,-4.28E-06,-1.34E-06,6.88E-06
1.8541,35,-3.90E-06,-1.11E-06,3.92E-06
1.8541,40,-3.52E-06,-8.77E-07,3.53E-06
1.8541,45,-3.72E-06,-6.46E-07,3.13E-06
1.8541,50,-3.92E-06,-7.22E-07,2.74E-06
1.8541,60,-4.12E-06,-7.99E-07,2.12E-06
1.8541,70,-3.69E-06,-8.75E-07,1.51E-06
1.8541,80,-3.27E-06,-1.26E-06,8.91E-07
1.8541,90,-2.84E-06,-1.64E-06,-1.70E-07
1.8541,100,1.36E-07,-2.02E-06,-1.23E-06
1.9041,0,1.46E-06,4.94E-06,7.67E-05
1.9041,2.5,1.67E-06,7.37E-06,6.78E-05
1.9041,5,1.32E-06,4.30E-06,5.85E-05
1.9041,7.5,1.22E-06,4.92E-06,5.06E-05
1.9041,10,1.51E-06,5.74E-06,4.38E-05
1.9041,12.5,1.40E-06,3.07E-06,3.87E-05
1.9041,15,1.61E-06,3.27E-06,3.45E-05
1.9041,17.5,9.36E-08,2.57E-06,3.14E-05
1.9041,20,1.47E-06,4.34E-06,2.86E-05
1.9041,25,3.39E-07,3.39E-06,2.49E-05
1.9041,30,3.30E-07,2.44E-06,2.13E-05
1.9041,35,3.21E-07,2.24E-06,1.77E-05
1.9041,40,3.12E-07,2.04E-06,1.60E-05
1.9041,45,5.88E-07,1.85E-06,1.42E-05
1.9041,50,8.65E-07,1.37E-06,1.25E-05
1.9041,60,1.14E-06,8.91E-07,1.02E-05
1.9041,70,8.90E-07,4.14E-07,7.95E-06
1.9041,80,6.39E-07,3.96E-07,5.67E-06
1.9041,90,3.88E-07,3.78E-07,4.45E-06
1.9041,100,2.73E-06,3.61E-07,3.23E-06
1.9301,0,1.82E-06,-2.47E-07,6.16E-05
1.9301,2.5,1.79E-06,2.63E-06,5.44E-05
1.9301,5,1.56E-06,8.52E-07,4.64E-05
1.9301,7.5,1.52E-06,1.09E-06,3.92E-05
1.9301,10,1.04E-06,1.65E-07,3.28E-05
1.9301,12.5,1.08E-06,2.19E-06,2.87E-05
1.9301,15,1.36E-06,9.91E-07,2.49E-05
1.9301,17.5,1.12E-06,1.49E-06,2.14E-05
1.9301,20,1.39E-06,2.57E-06,1.95E-05
1.9301,25,6.22E-07,1.74E-06,1.66E-05
1.9301,30,1.47E-07,9.05E-07,1.37E-05
1.9301,35,-3.28E-07,1.04E-06,1.07E-05
1.9301,40,-8.03E-07,1.18E-06,9.27E-06
1.9301,45,-8.54E-07,1.32E-06,7.80E-06
1.9301,50,-9.06E-07,9.78E-07,6.33E-06
1.9301,60,-9.57E-07,6.39E-07,5.29E-06
1.9301,70,-1.07E-06,3.01E-07,4.25E-06
1.9301,80,-1.18E-06,3.70E-07,3.22E-06
1.9301,90,-1.30E-06,4.39E-07,2.84E-06
1.9301,100,1.76E-07,5.08E-07,2.46E-06
1.9811,0,-3.34E-06,1.39E-06,4.93E-05
1.9811,2.5,-3.17E-06,1.33E-06,4.33E-05
1.9811,5,-2.79E-06,1.34E-06,3.59E-05
1.9811,7.5,-2.38E-06,2.16E-07,2.96E-05
1.9811,10,-2.47E-06,1.29E-06,2.47E-05
1.9811,12.5,-2.05E-06,8.03E-07,2.15E-05
1.9811,15,-2.09E-06,1.68E-07,1.85E-05
1.9811,17.5,-2.47E-06,5.31E-07,1.61E-05
1.9811,20,-1.24E-06,4.70E-07,1.40E-05
1.9811,25,-7.27E-07,-4.61E-08,1.21E-05
1.9811,30,-1.05E-06,-5.62E-07,1.01E-05
1.9811,35,-1.37E-06,-7.48E-07,8.20E-06
1.9811,40,-1.69E-06,-9.34E-07,7.04E-06
1.9811,45,-1.85E-06,-1.12E-06,5.88E-06
1.9811,50,-2.01E-06,-1.22E-06,4.72E-06
1.9811,60,-2.17E-06,-1.31E-06,4.08E-06
1.9811,70,-1.84E-06,-1.41E-06,3.44E-06
1.9811,80,-1.50E-06,-1.22E-06,2.80E-06
1.9811,90,-1.17E-06,-1.03E-06,2.59E-06
1.9811,100,-1.31E-06,-8.48E-07,2.39E-06
2.0071,0,2.08E-06,-7.43E-08,4.90E-05
2.0071,2.5,2.27E-06,2.24E-06,4.22E-05
2.0071,5,2.30E-06,1.75E-07,3.43E-05
2.0071,7.5,2.52E-06,7.35E-07,2.86E-05
2.0071,10,2.24E-06,1.03E-06,2.34E-05
2.0071,12.5,1.92E-06,3.12E-07,2.06E-05
2.0071,15,1.88E-06,-1.37E-07,1.77E-05
2.0071,17.5,1.46E-06,-2.44E-07,1.46E-05
2.0071,20,1.86E-06,-1.57E-07,1.33E-05
2.0071,25,2.48E-06,-5.94E-07,1.14E-05
2.0071,30,1.72E-06,-1.03E-06,9.45E-06
2.0071,35,9.54E-07,-1.03E-06,7.55E-06
2.0071,40,1.93E-07,-1.03E-06,6.60E-06
2.0071,45,-3.34E-07,-1.02E-06,5.66E-06
2.0071,50,-8.61E-07,-9.29E-07,4.71E-06
2.0071,60,-1.39E-06,-8.34E-07,3.94E-06
2.0071,70,-9.00E-07,-7.39E-07,3.17E-06
2.0071,80,-4.12E-07,-5.46E-07,2.39E-06
2.0071,90,7.62E-08,-3.53E-07,2.35E-06
2.0071,100,1.13E-06,-1.60E-07,2.30E-06
2.0581,0,-2.04E-06,1.06E-06,4.44E-05
2.0581,2.5,-2.01E-06,2.73E-06,3.75E-05
2.0581,5,-1.71E-06,1.03E-06,3.04E-05
2.0581,7.5,-1.67E-06,7.96E-07,2.51E-05
2.0581,10,-1.42E-06,6.78E-07,2.04E-05
2.0581,12.5,-1.39E-06,1.37E-06,1.77E-05
2.0581,15,-1.47E-06,1.25E-06,1.52E-05
2.0581,17.5,-1.43E-06,1.97E-07,1.28E-05
2.0581,20,-9.31E-07,7.11E-07,1.18E-05
2.0581,25,-1.25E-06,5.18E-07,9.90E-06
2.0581,30,-1.33E-06,3.26E-07,8.01E-06
2.0581,35,-1.41E-06,4.47E-07,6.12E-06
2.0581,40,-1.48E-06,5.69E-07,5.23E-06
2.0581,45,-1.46E-06,6.91E-07,4.34E-06
2.0581,50,-1.43E-06,4.27E-07,3.45E-06
2.0581,60,-1.41E-06,1.64E-07,2.60E-06
2.0581,70,-1.25E-06,-1.00E-07,1.76E-06
2.0581,80,-1.09E-06,3.73E-07,9.17E-07
2.0581,90,-9.29E-07,8.46E-07,8.36E-07
2.0581,100,-2.89E-07,1.32E-06,7.55E-07
2.0841,0,1.03E-06,3.60E-06,4.70E-05
2.0841,2.5,9.10E-07,1.93E-06,4.13E-05
2.0841,5,9.44E-07,1.93E-06,3.41E-05
2.0841,7.5,6.33E-07,3.24E-06,2.82E-05
2.0841,10,3.25E-07,2.10E-06,2.39E-05
2.0841,12.5,4.21E-07,1.71E-06,2.07E-05
2.0841,15,6.54E-07,1.66E-06,1.75E-05
2.0841,17.5,3.73E-07,1.52E-06,1.56E-05
2.0841,20,9.69E-07,6.82E-07,1.45E-05
2.0841,25,1.44E-09,4.37E-07,1.20E-05
2.0841,30,-1.13E-07,1.93E-07,9.51E-06
2.0841,35,-2.28E-07,7.27E-07,7.03E-06
2.0841,40,-3.43E-07,1.26E-06,6.33E-06
2.0841,45,-4.73E-07,1.79E-06,5.63E-06
2.0841,50,-6.03E-07,1.58E-06,4.93E-06
2.0841,60,-7.32E-07,1.37E-06,3.79E-06
2.0841,70,-1.02E-06,1.16E-06,2.65E-06
2.0841,80,-1.30E-06,9.47E-07,1.50E-06
2.0841,90,-1.58E-06,7.35E-07,1.00E-06
2.0841,100,1.69E-06,5.22E-07,4.97E-07
2.1371,0,-5.78E-06,5.48E-06,9.44E-05
2.1371,2.5,-4.94E-06,1.69E-06,8.19E-05
2.1371,5,-3.46E-06,2.48E-06,6.69E-05
2.1371,7.5,-3.25E-06,1.58E-06,5.52E-05
2.1371,10,-3.91E-06,4.03E-06,4.43E-05
2.1371,12.5,-2.64E-06,1.37E-06,3.76E-05
2.1371,15,-2.31E-06,1.64E-06,3.25E-05
2.1371,17.5,-3.70E-06,2.39E-06,2.81E-05
2.1371,20,-2.02E-06,2.26E-06,2.46E-05
2.1371,25,-1.64E-06,1.60E-06,2.01E-05
2.1371,30,-1.61E-06,9.28E-07,1.56E-05
2.1371,35,-1.58E-06,7.00E-07,1.11E-05
2.1371,40,-1.55E-06,4.72E-07,9.46E-06
2.1371,45,-1.81E-06,2.44E-07,7.77E-06
2.1371,50,-2.08E-06,4.61E-07,6.09E-06
2.1371,60,-2.35E-06,6.77E-07,5.06E-06
2.1371,70,-1.49E-06,8.93E-07,4.03E-06
2.1371,80,-6.41E-07,6.60E-07,3.01E-06
2.1371,90,2.11E-07,4.27E-07,2.61E-06
2.1371,100,1.04E-07,1.94E-07,2.22E-06
2.1631,0,1.16E-06,4.21E-06,7.92E-05
2.1631,2.5,1.21E-06,2.57E-06,6.91E-05
2.1631,5,1.39E-06,2.58E-06,5.70E-05
2.1631,7.5,1.98E-06,1.83E-06,4.73E-05
2.1631,10,1.21E-06,1.04E-06,3.82E-05
2.1631,12.5,1.58E-06,1.77E-06,3.30E-05
2.1631,15,1.48E-06,9.02E-07,2.80E-05
2.1631,17.5,7.93E-07,2.60E-06,2.49E-05
2.1631,20,1.44E-06,2.50E-06,2.15E-05
2.1631,25,1.99E-07,1.96E-06,1.80E-05
2.1631,30,-8.04E-09,1.42E-06,1.46E-05
2.1631,35,-2.15E-07,1.17E-06,1.11E-05
2.1631,40,-4.22E-07,9.20E-07,1.02E-05
2.1631,45,-6.35E-07,6.69E-07,9.31E-06
2.1631,50,-8.48E-07,5.86E-07,8.43E-06
2.1631,60,-1.06E-06,5.02E-07,6.99E-06
2.1631,70,-1.76E-06,4.19E-07,5.55E-06
2.1631,80,-2.45E-06,6.08E-08,4.11E-06
2.1631,90,-3.15E-06,-2.98E-07,3.06E-06
2.1631,100,-1.06E-06,-6.56E-07,2.01E-06
2.2131,0,3.25E-06,6.39E-06,4.94E-05
2.2131,2.5,2.80E-06,4.26E-06,4.06E-05
2.2131,5,2.83E-06,3.39E-06,3.14E-05
2.2131,7.5,2.60E-06,4.07E-06,2.62E-05
2.2131,10,1.83E-06,2.64E-06,2.25E-05
2.2131,12.5,2.17E-06,2.55E-06,2.03E-05
2.2131,15,2.15E-06,2.09E-06,1.84E-05
2.2131,17.5,1.81E-06,2.36E-06,1.70E-05
2.2131,20,2.35E-06,2.05E-06,1.59E-05
2.2131,25,1.99E-06,1.70E-06,1.43E-05
2.2131,30,1.59E-06,1.35E-06,1.26E-05
2.2131,35,1.19E-06,1.28E-06,1.10E-05
2.2131,40,7.94E-07,1.20E-06,9.59E-06
2.2131,45,3.15E-07,1.13E-06,8.19E-06
2.2131,50,-1.65E-07,1.21E-06,6.79E-06
2.2131,60,-6.45E-07,1.30E-06,5.73E-06
2.2131,70,-1.59E-06,1.38E-06,4.67E-06
2.2131,80,-2.54E-06,1.36E-06,3.61E-06
2.2131,90,-3.48E-06,1.34E-06,2.49E-06
2.2131,100,2.00E-06,1.32E-06,1.38E-06
2.2381,0,-5.13E-07,8.25E-06,3.87E-05
2.2381,2.5,-4.95E-07,7.19E-06,3.05E-05
2.2381,5,3.10E-07,6.54E-06,2.17E-05
2.2381,7.5,1.03E-06,6.31E-06,1.63E-05
2.2381,10,1.54E-06,6.24E-06,1.23E-05
2.2381,12.5,2.62E-06,6.40E-06,9.58E-06
2.2381,15,2.61E-06,6.57E-06,8.41E-06
2.2381,17.5,2.88E-06,6.74E-06,7.25E-06
2.2381,20,3.15E-06,5.84E-06,6.08E-06
2.2381,25,3.42E-06,4.93E-06,4.86E-06
2.2381,30,3.14E-06,4.03E-06,3.64E-06
2.2381,35,2.86E-06,3.59E-06,2.42E-06
2.2381,40,2.58E-06,3.15E-06,1.95E-06
2.2381,45,2.47E-06,2.71E-06,1.47E-06
2.2381,50,2.35E-06,2.55E-06,9.92E-07
2.2381,60,2.24E-06,2.39E-06,5.36E-07
2.2381,70,2.01E-06,2.24E-06,8.04E-08
2.2381,80,1.77E-06,1.61E-06,-3.75E-07
2.2381,90,1.54E-06,9.75E-07,-1.64E-06
2.2381,100,3.31E-06,3.44E-07,-2.90E-06
2.2891,0,-4.72E-05,-3.43E-05,0.00011879
2.2891,2.5,-1.47E-05,-1.01E-05,8.64E-05
2.2891,5,1.79E-06,-1.33E-06,5.64E-05
2.2891,7.5,6.06E-06,1.85E-06,4.13E-05
2.2891,10,6.00E-06,8.87E-07,3.17E-05
2.2891,12.5,6.13E-06,1.34E-06,2.55E-05
2.2891,15,6.25E-06,1.41E-06,2.26E-05
2.2891,17.5,5.61E-06,9.57E-07,1.82E-05
2.2891,20,3.93E-06,9.12E-07,1.79E-05
2.2891,25,1.31E-06,7.39E-07,1.40E-05
2.2891,30,1.05E-06,5.66E-07,1.01E-05
2.2891,35,7.97E-07,2.05E-07,6.27E-06
2.2891,40,5.42E-07,-1.57E-07,5.29E-06
2.2891,45,-6.42E-09,-5.18E-07,4.31E-06
2.2891,50,-5.54E-07,-9.42E-07,3.33E-06
2.2891,60,-1.10E-06,-1.37E-06,2.06E-06
2.2891,70,-7.29E-07,-1.79E-06,7.94E-07
2.2891,80,-3.57E-07,-1.94E-06,-4.71E-07
2.2891,90,1.63E-08,-2.09E-06,-2.37E-07
2.2891,100,1.74E-06,-2.24E-06,-2.74E-09
2.3151,0,3.69E-06,-2.56E-07,5.10E-05
2.3151,2.5,4.56E-06,-1.74E-06,3.67E-05
2.3151,5,6.38E-06,-1.48E-06,2.06E-05
2.3151,7.5,7.27E-06,-1.75E-06,1.25E-05
2.3151,10,7.34E-06,-1.42E-06,7.63E-06
2.3151,12.5,7.55E-06,-1.25E-06,4.11E-06
2.3151,15,6.95E-06,-7.28E-07,2.48E-06
2.3151,17.5,6.76E-06,-2.09E-07,8.61E-07
2.3151,20,6.57E-06,-6.10E-08,-7.62E-07
2.3151,25,6.38E-06,8.65E-08,-2.30E-06
2.3151,30,5.86E-06,2.34E-07,-3.83E-06
2.3151,35,5.35E-06,6.33E-07,-5.36E-06
2.3151,40,4.84E-06,1.03E-06,-5.10E-06
2.3151,45,4.51E-06,1.43E-06,-4.85E-06
2.3151,50,4.18E-06,1.35E-06,-4.59E-06
2.3151,60,3.85E-06,1.27E-06,-4.25E-06
2.3151,70,3.30E-06,1.19E-06,-3.91E-06
2.3151,80,2.75E-06,1.23E-06,-3.57E-06
2.3151,90,2.21E-06,1.27E-06,-3.70E-06
2.3151,100,4.21E-06,1.31E-06,-3.82E-06
2.3671,0,-2.30E-06,8.04E-07,2.38E-05
2.3671,2.5,-2.22E-06,9.49E-07,1.67E-05
2.3671,5,-2.05E-06,8.54E-07,9.77E-06
2.3671,7.5,-1.71E-06,6.95E-07,6.28E-06
2.3671,10,-2.00E-06,8.98E-07,4.10E-06
2.3671,12.5,-2.29E-06,6.67E-07,2.72E-06
