Name,Field,Squid_x,Squid_y,Squid_z
7,70,7.23E-07,1.27E-06,1.61E-06
7,80,4.72E-07,7.83E-07,1.55E-06
7,90,3.20E-07,3.96E-07,6.92E-07
7,100,6.03E-07,1.39E-07,-3.33E-08
8,0,1.02E-05,5.37E-06,1.34E-05
8,5,3.14E-06,5.37E-06,1.16E-05
8,10,1.45E-06,4.39E-06,8.81E-06
8,15,1.35E-06,3.60E-06,6.94E-06
8,20,1.66E-06,3.35E-06,5.89E-06
8,25,1.48E-06,2.92E-06,4.63E-06
8,30,1.22E-06,1.94E-06,3.80E-06
8,35,1.44E-06,1.45E-06,3.21E-06
8,40,1.65E-06,1.08E-06,2.92E-06
8,45,1.09E-06,1.12E-06,2.14E-06
8,50,7.72E-07,6.86E-07,1.78E-06
8,60,8.84E-07,4.06E-07,1.06E-06
8,70,5.58E-07,8.30E-07,7.10E-07
8,80,8.69E-07,2.09E-07,4.88E-07
8,90,1.40E-07,6.51E-07,3.36E-07
8,100,5.49E-07,-4.95E-08,4.03E-08
9,0,8.48E-06,-6.10E-06,4.45E-05
9,5,1.61E-07,-2.02E-06,3.95E-05
9,10,-7.03E-06,8.55E-07,3.37E-05
9,15,-8.35E-06,1.54E-06,3.02E-05
9,20,-8.19E-06,1.52E-06,2.74E-05
9,25,-6.20E-06,2.02E-06,2.53E-05
9,30,-5.04E-06,1.98E-06,2.29E-05
9,35,-4.25E-06,2.39E-06,2.01E-05
9,40,-3.68E-06,1.76E-06,1.81E-05
9,45,-3.56E-06,2.19E-06,1.68E-05
9,50,-2.80E-06,1.92E-06,1.49E-05
9,60,-1.60E-06,1.97E-06,1.10E-05
9,70,-4.89E-07,2.11E-06,9.19E-06
9,80,-2.98E-06,5.54E-07,7.01E-06
9,90,-2.43E-06,6.14E-07,5.20E-06
9,100,-2.41E-06,5.01E-07,3.90E-06
10,0,-9.94E-08,5.47E-06,2.16E-05
10,5,-2.89E-06,4.13E-06,1.76E-05
10,10,-2.34E-06,2.54E-06,1.34E-05
10,15,-2.31E-06,2.32E-06,1.14E-05
10,20,-1.82E-06,1.79E-06,8.80E-06
10,25,-1.91E-06,1.32E-06,7.16E-06
10,30,-8.36E-07,1.00E-06,5.90E-06
10,35,-9.37E-07,1.02E-06,4.95E-06
10,40,-9.68E-07,6.12E-07,3.88E-06
10,45,-4.54E-07,-3.18E-08,3.50E-06
10,50,4.84E-07,3.81E-07,2.42E-06
10,60,-5.97E-07,5.96E-07,1.94E-06
10,70,5.03E-07,-3.58E-08,1.20E-06
10,80,7.11E-07,-1.37E-07,-3.76E-07
10,90,4.91E-07,-1.30E-07,-1.76E-07
10,100,1.23E-06,-1.71E-07,8.94E-08
11,0,1.85E-05,1.86E-06,4.95E-06
11,5,3.98E-06,4.43E-06,5.74E-06
11,10,-1.84E-08,2.96E-06,2.97E-06
11,15,3.41E-07,2.05E-06,1.70E-06
11,20,2.62E-07,2.36E-06,5.19E-07
11,25,4.97E-07,2.07E-06,-9.05E-07
11,30,2.07E-07,2.07E-06,-1.85E-06
11,35,-1.37E-07,1.70E-06,-3.15E-06
11,40,1.71E-07,1.41E-06,-2.80E-06
11,45,1.08E-07,1.84E-06,-3.32E-06
11,50,-4.09E-07,1.14E-06,-3.82E-06
11,60,9.64E-07,8.65E-07,-3.97E-06
11,70,1.64E-07,5.60E-07,-3.76E-06
11,80,1.09E-06,-2.69E-07,-3.18E-06
11,90,1.32E-06,6.08E-07,-2.88E-06
11,100,1.34E-06,-2.47E-07,-1.98E-06
12,0,3.06E-05,-7.28E-06,4.42E-05
12,5,1.46E-05,-2.05E-06,4.07E-05
12,10,2.48E-06,5.39E-07,3.59E-05
12,15,-1.20E-06,4.60E-07,3.22E-05
