726,0,8.66E-07,5.36E-07,1.70E-05
726,2.5,6.67E-07,8.09E-07,1.18E-05
726,5,5.48E-07,5.92E-07,7.66E-06
726,7.5,4.72E-07,6.86E-07,5.32E-06
726,10,4.58E-07,8.99E-07,3.21E-06
726,12.5,8.59E-07,5.45E-07,2.34E-06
726,15,6.70E-07,7.57E-07,1.33E-06
726,17.5,7.86E-07,1.35E-06,5.34E-07
726,20,1.18E-06,6.81E-07,-6.24E-08
726,25,8.29E-07,8.20E-07,-1.09E-06
726,30,6.21E-07,9.59E-07,-2.11E-06
726,35,4.12E-07,1.17E-06,-3.14E-06
726,40,2.04E-07,1.38E-06,-3.16E-06
726,45,3.06E-07,1.59E-06,-3.19E-06
726,50,4.09E-07,1.63E-06,-3.21E-06
726,60,5.11E-07,1.67E-06,-2.77E-06
726,70,4.24E-07,1.72E-06,-2.33E-06
726,80,3.36E-07,1.51E-06,-1.89E-06
726,90,2.49E-07,1.30E-06,-2.60E-06
726,100,1.25E-06,1.09E-06,-3.31E-06
