Name,AF (mT),x (emu),y (emu),z (emu)
660,90,-1.72E-06,-4.22E-08,6.06E-07
660,100,-1.24E-06,-5.39E-07,3.99E-07
662,0,-1.19E-06,1.12E-06,1.98E-05
662,2.5,-1.18E-06,8.40E-07,1.74E-05
662,5,-1.25E-06,1.36E-06,1.49E-05
662,7.5,-1.26E-06,9.46E-07,1.28E-05
662,10,-1.67E-06,5.09E-07,1.10E-05
662,12.5,-1.25E-06,8.32E-07,9.88E-06
662,15,-1.10E-06,2.81E-07,8.58E-06
662,17.5,-9.21E-07,5.56E-07,7.45E-06
662,20,-4.68E-07,4.77E-07,6.71E-06
662,25,-5.94E-07,3.59E-07,5.58E-06
662,30,-2.97E-07,2.42E-07,4.45E-06
662,35,-9.01E-10,2.82E-07,3.32E-06
662,40,2.96E-07,3.22E-07,2.90E-06
662,45,-1.67E-07,4.03E-07,2.06E-06
662,50,-3.98E-07,5.56E-07,1.65E-06
662,60,-6.29E-07,7.09E-07,1.50E-06
662,70,-8.20E-07,8.62E-07,1.35E-06
662,80,-1.01E-06,9.20E-07,1.21E-06
662,90,-1.20E-06,9.79E-07,6.70E-07
662,100,5.53E-08,1.04E-06,1.35E-07
665,0,2.99E-06,3.78E-07,4.84E-05
665,2.5,2.91E-06,-2.32E-07,4.39E-05
665,5,2.83E-06,7.51E-07,3.82E-05
665,7.5,2.95E-06,-6.21E-07,3.37E-05
665,10,2.66E-06,-6.36E-07,2.87E-05
665,12.5,2.32E-06,-1.36E-06,2.62E-05
665,15,2.14E-06,-1.14E-08,2.29E-05
665,17.5,1.67E-06,-9.82E-07,2.10E-05
665,20,2.24E-06,-9.87E-07,1.90E-05
665,25,2.18E-06,-6.80E-07,1.66E-05
665,30,2.05E-06,-3.72E-07,1.42E-05
665,35,1.91E-06,-1.23E-07,1.17E-05
665,40,1.78E-06,1.25E-07,1.06E-05
665,45,1.39E-06,3.74E-07,9.52E-06
665,50,9.96E-07,4.20E-07,8.41E-06
665,60,6.05E-07,4.66E-07,7.49E-06
665,70,1.56E-07,5.12E-07,6.57E-06
665,80,-2.94E-07,3.34E-07,5.65E-06
665,90,-7.43E-07,1.57E-07,4.05E-06
665,100,4.80E-07,-2.11E-08,2.45E-06
666,0,1.25E-07,2.29E-06,3.52E-05
666,2.5,-7.24E-09,1.73E-06,3.15E-05
666,5,-1.12E-07,2.89E-06,2.70E-05
666,7.5,-2.57E-07,1.31E-06,2.35E-05
666,10,-4.28E-07,1.13E-06,1.98E-05
666,12.5,-4.72E-07,9.85E-07,1.76E-05
666,15,-1.35E-06,6.27E-07,1.59E-05
666,17.5,-2.13E-06,1.10E-06,1.42E-05
666,20,-1.56E-06,6.98E-07,1.24E-05
666,25,-1.19E-06,4.41E-07,1.05E-05
666,30,-1.23E-06,1.83E-07,8.50E-06
666,35,-1.27E-06,4.54E-07,6.55E-06
666,40,-1.32E-06,7.25E-07,5.63E-06
666,45,-1.15E-06,9.96E-07,4.71E-06
666,50,-9.90E-07,1.28E-06,3.79E-06
666,60,-8.25E-07,1.56E-06,3.56E-06
666,70,-9.59E-07,1.84E-06,3.32E-06
666,80,-1.10E-06,1.58E-06,3.08E-06
666,90,-1.38E-06,1.05E-06,3.76E-06
666,100,6.60E-07,7.85E-07,4.10E-06
668,0,1.95E-06,-4.56E-06,7.91E-05
668,2.5,1.84E-06,-3.70E-06,7.15E-05
668,5,1.56E-06,-4.61E-06,5.82E-05
668,7.5,1.53E-06,-2.37E-06,4.93E-05
668,10,1.17E-06,-4.43E-06,4.21E-05
668,12.5,7.64E-07,-4.14E-06,3.69E-05
668,15,9.80E-07,-2.62E-06,3.38E-05
668,17.5,4.80E-07,-3.37E-06,3.00E-05
668,20,1.08E-06,-3.15E-06,2.80E-05
668,25,8.87E-07,-2.38E-06,2.40E-05
668,30,8.05E-07,-1.62E-06,2.00E-05
668,35,7.23E-07,-1.27E-06,1.61E-05
668,40,6.41E-07,-9.12E-07,1.45E-05
668,45,2.63E-07,-5.59E-07,1.30E-05
668,50,-1.15E-07,-5.98E-07,1.15E-05
668,60,-4.93E-07,-6.38E-07,9.56E-06
668,70,-5.17E-07,-6.78E-07,7.63E-06
668,80,-5.42E-07,-6.19E-07,5.70E-06
668,90,-5.66E-07,-5.61E-07,4.08E-06
668,100,2.81E-06,-5.02E-07,2.45E-06
669,0,2.53E-06,-6.95E-07,6.56E-05
669,2.5,2.07E-06,-1.86E-06,5.75E-05
669,5,1.76E-06,-5.99E-07,4.58E-05
669,7.5,1.10E-06,-3.01E-06,3.82E-05
669,10,7.73E-07,-2.76E-06,3.26E-05
669,12.5,7.27E-07,-3.27E-06,2.90E-05
669,15,7.99E-07,-1.90E-06,2.66E-05
669,17.5,2.08E-07,-2.89E-06,2.48E-05
669,20,5.71E-07,-2.40E-06,2.34E-05
669,25,1.17E-07,-2.11E-06,2.06E-05
669,30,-1.90E-07,-1.83E-06,1.77E-05
669,35,-4.96E-07,-1.05E-06,1.49E-05
669,40,-8.03E-07,-2.69E-07,1.37E-05
669,45,-1.16E-06,5.10E-07,1.25E-05
669,50,-1.51E-06,3.38E-07,1.14E-05
669,60,-1.87E-06,1.66E-07,9.79E-06
669,70,-1.90E-06,-6.93E-09,8.22E-06
669,80,-1.94E-06,-3.09E-08,6.64E-06
669,90,-2.02E-06,-9.56E-08,4.61E-06
669,100,2.23E-06,-1.36E-07,3.60E-06
671,0,8.37E-06,-1.81E-06,3.57E-05
